x,y
-1.7879,-2.1355
-1.788205,-2.135805
-1.78729,-2.13489
-1.789426,-2.1355
-1.78729,-2.133974
-1.7879,-2.133669
-1.788205,-2.133974
-1.78729,-2.135195
-1.7879,-2.133059
-1.78851,-2.133974
-1.7879,-2.134279
-1.7879,-2.13489
-1.788205,-2.13489
-1.78729,-2.134279
-1.786984,-2.13489
-1.78729,-2.134279
-1.786069,-2.133974
-1.7879,-2.13611
-1.786374,-2.135195
-1.7879,-2.133974
-1.7879,-2.1355
-1.786679,-2.135195
-1.786984,-2.1355
-1.7879,-2.136415
-1.788205,-2.135805
-1.786984,-2.136415
-1.786984,-2.1355
-1.7879,-2.1355
-1.78729,-2.13611
-1.7879,-2.135805
-1.78729,-2.13489
-1.7879,-2.133364
-1.786679,-2.133974
-1.788205,-2.134279
-1.784238,-2.133669
-1.786374,-2.132143
-1.786374,-2.134279
-1.786069,-2.13489
-1.786069,-2.134279
-1.786984,-2.133974
-1.786069,-2.133364
-1.786374,-2.133669
-1.786069,-2.133974
-1.786984,-2.133364
-1.786069,-2.133364
-1.784848,-2.133669
-1.785764,-2.133059
-1.78729,-2.1355
-1.784543,-2.134279
-1.785459,-2.134279
-1.785764,-2.135195
-1.784238,-2.134279
-1.784848,-2.1355
-1.783628,-2.135195
-1.783933,-2.134279
-1.785459,-2.135805
-1.784848,-2.133974
-1.786374,-2.134279
-1.782712,-2.135195
-1.786374,-2.133974
-1.783933,-2.133974
-1.782102,-2.133974
-1.782712,-2.13489
-1.784848,-2.133974
-1.783628,-2.133669
-1.784543,-2.133059
-1.784238,-2.133364
-1.784543,-2.133364
-1.785459,-2.134279
-1.783933,-2.133059
-1.782407,-2.133059
-1.783933,-2.133059
-1.785459,-2.133974
-1.785459,-2.133669
-1.782407,-2.133974
-1.783322,-2.133669
-1.782102,-2.133364
-1.781796,-2.133974
-1.783933,-2.13489
-1.782102,-2.133974
-1.783322,-2.134279
-1.783933,-2.134279
-1.783933,-2.1355
-1.783322,-2.13489
-1.78088,-2.13489
-1.782102,-2.13489
-1.782102,-2.1355
-1.782407,-2.13489
-1.782407,-2.13489
-1.781185,-2.13489
-1.782712,-2.135195
-1.783322,-2.134279
-1.781796,-2.133974
-1.782712,-2.134279
-1.781796,-2.133974
-1.781185,-2.133364
-1.78027,-2.133059
-1.781491,-2.132753
-1.78088,-2.131838
-1.782407,-2.133059
-1.779964,-2.133059
-1.781796,-2.133974
-1.781796,-2.132143
-1.782102,-2.132143
-1.78088,-2.132753
-1.781796,-2.133669
-1.781796,-2.133974
-1.782712,-2.13489
-1.781491,-2.133974
-1.782712,-2.133059
-1.782102,-2.133059
-1.783628,-2.131533
-1.782712,-2.132753
-1.782712,-2.133974
-1.783628,-2.133974
-1.783322,-2.133364
-1.782102,-2.13489
-1.783322,-2.133669
-1.782407,-2.133974
-1.781796,-2.133059
-1.781185,-2.133669
-1.783322,-2.131227
-1.782102,-2.132143
-1.783322,-2.132753
-1.781185,-2.131838
-1.782407,-2.132143
-1.783933,-2.131533
-1.782712,-2.133974
-1.782407,-2.133364
-1.783322,-2.133364
-1.782712,-2.133059
-1.782712,-2.133059
-1.782102,-2.133669
-1.781796,-2.132753
-1.781796,-2.133364
-1.781185,-2.132143
-1.781185,-2.131838
-1.779354,-2.132753
-1.78027,-2.133059
-1.779659,-2.133059
-1.781491,-2.133974
-1.781185,-2.133974
-1.778744,-2.134279
-1.781491,-2.135195
-1.78027,-2.135805
-1.782712,-2.135195
-1.78088,-2.133669
-1.782102,-2.133669
-1.781491,-2.13489
-1.779049,-2.133974
-1.781796,-2.134279
-1.779354,-2.133974
-1.781491,-2.133974
-1.779659,-2.13489
-1.779659,-2.133364
-1.78027,-2.133669
-1.779049,-2.135195
-1.78027,-2.133364
-1.78027,-2.133059
-1.779354,-2.133059
-1.781185,-2.133364
-1.782102,-2.133669
-1.781491,-2.133059
-1.777828,-2.132143
-1.782102,-2.133059
-1.777218,-2.133059
-1.779659,-2.133669
-1.777523,-2.133364
-1.779659,-2.133059
-1.777828,-2.133364
-1.779964,-2.134279
-1.781796,-2.133669
-1.781185,-2.133669
-1.781185,-2.133974
-1.778744,-2.133669
-1.777828,-2.133059
-1.777523,-2.133364
-1.78088,-2.133364
-1.777828,-2.13489
-1.779049,-2.133974
-1.777828,-2.133974
-1.778133,-2.134279
-1.777828,-2.133364
-1.777828,-2.133669
-1.778133,-2.133364
-1.777523,-2.133669
-1.777523,-2.133669
-1.777828,-2.132143
-1.777828,-2.132143
-1.777523,-2.131838
-1.776913,-2.132143
-1.777218,-2.131838
-1.777523,-2.132143
-1.777218,-2.132753
-1.779354,-2.133059
-1.777523,-2.133669
-1.777828,-2.131838
-1.777523,-2.132753
-1.778133,-2.132143
-1.776913,-2.133364
-1.778133,-2.131838
-1.777218,-2.133364
-1.777828,-2.133669
-1.779659,-2.133669
-1.778744,-2.133669
-1.778744,-2.133974
-1.777828,-2.133669
-1.777523,-2.133669
-1.777828,-2.13489
-1.777218,-2.13489
-1.776913,-2.133669
-1.775692,-2.133059
-1.776302,-2.133059
-1.777218,-2.132753
-1.777828,-2.133059
-1.776913,-2.133059
-1.777828,-2.133059
-1.775387,-2.131838
-1.776608,-2.132753
-1.776608,-2.133059
-1.776608,-2.133364
-1.775387,-2.132753
-1.776302,-2.132143
-1.777828,-2.132753
-1.776608,-2.133059
-1.775692,-2.13489
-1.776913,-2.132753
-1.777828,-2.132143
-1.777218,-2.133059
-1.778133,-2.131838
-1.776608,-2.133059
-1.776913,-2.133364
-1.777218,-2.134279
-1.777828,-2.133974
-1.777828,-2.134279
-1.777828,-2.134279
-1.778133,-2.133974
-1.777523,-2.134279
-1.775692,-2.133364
-1.778133,-2.13489
-1.778133,-2.13489
-1.774776,-2.1355
-1.777218,-2.134279
-1.775082,-2.134279
-1.778133,-2.13489
-1.777828,-2.134279
-1.777523,-2.133974
-1.776913,-2.133974
-1.778744,-2.133974
-1.777828,-2.1355
-1.777218,-2.133364
-1.777523,-2.133974
-1.778744,-2.132753
-1.777218,-2.132753
-1.777828,-2.132753
-1.777523,-2.133364
-1.777218,-2.133669
-1.776913,-2.133669
-1.775387,-2.135195
-1.776913,-2.134279
-1.775387,-2.13611
-1.777218,-2.133974
-1.779049,-2.133669
-1.776608,-2.135805
-1.779354,-2.1355
-1.774471,-2.134279
-1.777523,-2.134279
-1.777523,-2.134279
-1.777218,-2.134279
-1.778133,-2.13611
-1.778133,-2.135805
-1.778744,-2.136415
-1.774166,-2.136721
-1.775387,-2.13611
-1.775692,-2.136721
-1.779354,-2.1355
-1.775082,-2.137331
-1.776913,-2.137331
-1.777218,-2.13611
-1.778744,-2.133974
-1.775692,-2.134279
-1.777523,-2.13489
-1.777523,-2.1355
-1.777218,-2.135805
-1.775692,-2.133669
-1.775082,-2.133364
-1.775082,-2.13489
-1.775692,-2.13489
-1.776913,-2.13611
-1.776302,-2.135195
-1.777218,-2.135805
-1.774776,-2.136721
-1.774776,-2.13611
-1.777218,-2.135195
-1.775692,-2.135805
-1.773861,-2.133974
-1.774471,-2.13611
-1.776608,-2.13611
-1.776302,-2.137636
-1.774471,-2.136721
-1.776302,-2.136415
-1.775082,-2.137636
-1.777523,-2.136721
-1.775387,-2.1355
-1.776913,-2.136721
-1.775387,-2.137331
-1.774776,-2.136721
-1.778744,-2.136721
-1.776302,-2.137331
-1.775082,-2.137331
-1.775082,-2.136721
-1.775387,-2.135805
-1.775082,-2.13611
-1.775387,-2.13611
-1.775387,-2.137331
-1.774471,-2.136721
-1.774776,-2.13611
-1.775387,-2.135805
-1.775692,-2.135195
-1.775082,-2.135195
-1.775387,-2.1355
-1.776302,-2.136415
-1.775692,-2.136415
-1.775387,-2.137331
-1.776302,-2.137331
-1.774776,-2.138552
-1.775082,-2.138247
-1.775387,-2.136721
-1.775387,-2.137331
-1.774776,-2.136721
-1.775082,-2.137941
-1.774471,-2.138857
-1.775387,-2.137941
-1.775387,-2.136721
-1.775082,-2.137331
-1.776302,-2.137331
-1.775387,-2.136721
-1.775692,-2.137331
-1.776608,-2.138857
-1.775082,-2.138857
-1.776608,-2.137636
-1.776608,-2.137636
-1.774471,-2.136721
-1.775387,-2.137941
-1.776302,-2.137941
-1.776302,-2.137636
-1.776608,-2.136415
